"County","EarlyTotal","Date"
"Maury","1565","2016-10-21"
"Monroe","918","2016-10-21"
"Giles","595","2016-10-21"
"Smith","394","2016-10-21"
"Madison","2186","2016-10-21"
"Roane","1252","2016-10-21"
"Weakley","640","2016-10-21"
"Grundy","223","2016-10-21"
"Benton","438","2016-10-21"
"McNairy","512","2016-10-21"
"Franklin","811","2016-10-21"
"Henry","764","2016-10-21"
"Trousdale","235","2016-10-21"
"Lauderdale","444","2016-10-21"
"Macon","486","2016-10-21"
"Dickson","925","2016-10-21"
"Obion","825","2016-10-21"
"Marion","474","2016-10-21"
"Hardeman","420","2016-10-21"
"Houston","214","2016-10-21"
"Sequatchie","294","2016-10-21"
"Lincoln","736","2016-10-21"
"Overton","376","2016-10-21"
"Scott","414","2016-10-21"
"Hamblen","1043","2016-10-21"
"Cumberland","1473","2016-10-21"
"Stewart","385","2016-10-21"
"White","559","2016-10-21"
"Loudon","1431","2016-10-21"
"Lawrence","647","2016-10-21"
"Putnam","1489","2016-10-21"
"Bradley","2269","2016-10-21"
"Van Buren","97","2016-10-21"
"Bradley","2407","2016-10-19"
"Coffee","1159","2016-10-21"
"Crockett","275","2016-10-21"
"Cocke","677","2016-10-21"
"Anderson","1981","2016-10-21"
"Marshall","800","2016-10-21"
"Gibson","891","2016-10-21"
"Washington","2287","2016-10-21"
"Sumner","3209","2016-10-21"
"Montgomery","2832","2016-10-21"
"Tipton","1572","2016-10-21"
"Wilson","3413","2016-10-21"
"Greene","769","2016-10-21"
"Warren","768","2016-10-21"
"Hamilton","5011","2016-10-21"
"Meigs","235","2016-10-21"
"Bledsoe","75","2016-10-21"
"Rutherford","6381","2016-10-21"
"Davidson","13768","2016-10-21"
"Campbell","692","2016-10-21"
"Sevier","1666","2016-10-21"
"McMinn","945","2016-10-21"
"Polk","394","2016-10-21"
"Dyer","840","2016-10-21"
"Carroll","462","2016-10-21"
"Blount","2618","2016-10-21"
"Bedford","897","2016-10-21"
"Union","121","2016-10-22"
"Johnson","100","2016-10-22"
"Morgan","185","2016-10-22"
"Grainger","187","2016-10-22"
"Cocke","247","2016-10-22"
"Hancock","29","2016-10-22"
"Anderson","604","2016-10-22"
"Unicoi","159","2016-10-22"
"Hawkins","358","2016-10-22"
"Claiborne","147","2016-10-22"
"Monroe","266","2016-10-22"
"Greene","338","2016-10-22"
"Loudon","609","2016-10-22"
"Clay","58","2016-10-22"
"Lewis","147","2016-10-22"
"Lake","48","2016-10-22"
"Moore","26","2016-10-22"
"Perry","55","2016-10-22"
"Overton","210","2016-10-22"
"Hardin","200","2016-10-22"
"Jackson","138","2016-10-22"
"Wayne","107","2016-10-22"
"Lauderdale","152","2016-10-22"
"Lincoln","323","2016-10-22"
"Pickett","57","2016-10-22"
"Henderson","293","2016-10-22"
"Obion","258","2016-10-22"
"Macon","236","2016-10-22"
"Cumberland","528","2016-10-22"
"Roane","638","2016-10-22"
"Franklin","389","2016-10-22"
"Houston","43","2016-10-22"
"Stewart","136","2016-10-22"
"Sevier","721","2016-10-22"
"Madison","1045","2016-10-22"
"Benton","159","2016-10-22"
"Bledsoe","126","2016-10-22"
"Warren","216","2016-10-22"
"Smith","214","2016-10-22"
"Marion","190","2016-10-22"
"Gibson","368","2016-10-22"
"Chester","216","2016-10-22"
"Lawrence","277","2016-10-22"
"Hardeman","284","2016-10-22"
"Rhea","144","2016-10-22"
"Trousdale","103","2016-10-22"
"Carroll","195","2016-10-22"
"Coffee","390","2016-10-22"
"Maury","911","2016-10-22"
"Fentress","225","2016-10-22"
"Meigs","78","2016-10-22"
"Decatur","127","2016-10-22"
"White","244","2016-10-22"
"Weakley","320","2016-10-22"
"DeKalb","280","2016-10-22"
"Dickson","464","2016-10-22"
"Crockett","134","2016-10-22"
"Jefferson","562","2016-10-22"
"Jefferson","1386","2016-10-19"
"Jefferson","991","2016-10-20"
"Jefferson","1142","2016-10-21"
"Humphreys","480","2016-10-21"
"Humphreys","206","2016-10-22"
"Putnam","522","2016-10-22"
"Giles","295","2016-10-22"
"Hamblen","402","2016-10-22"
"Haywood","192","2016-10-22"
"McNairy","223","2016-10-22"
"Sumner","1475","2016-10-22"
"Blount","914","2016-10-22"
"Wilson","1749","2016-10-22"
"Fayette","871","2016-10-22"
"Sullivan","2095","2016-10-22"
"Washington","856","2016-10-22"
"Bedford","435","2016-10-22"
"Henry","304","2016-10-22"
"Van Buren","32","2016-10-22"
"Tipton","883","2016-10-22"
"Campbell","239","2016-10-22"
"Cannon","198","2016-10-22"
"Bradley","1462","2016-10-22"
"Rutherford","4092","2016-10-22"
"Williamson","4084","2016-10-22"
"Cheatham","696","2016-10-22"
"Montgomery","1842","2016-10-22"
"Marshall","422","2016-10-22"
"Davidson","10621","2016-10-22"
"Hamilton","3818","2016-10-22"
"Shelby","9819","2016-10-22"
"Dyer","351","2016-10-22"
"Knox","6049","2016-10-22"
"Knox","11387","2016-10-21"
"Polk","184","2016-10-22"
"Hickman","314","2016-10-22"
"Grundy","73","2016-10-22"
"Union","128","2016-10-24"
"Cannon","195","2016-10-24"
"Scott","210","2016-10-24"
"Scott","135","2016-10-22"
"Morgan","224","2016-10-24"
"Polk","235","2016-10-24"
"Hancock","81","2016-10-24"
"McMinn","1067","2016-10-20"
"McMinn","375","2016-10-22"
"Carter","967","2016-10-24"
"Carter","448","2016-10-22"
"Hardin","519","2016-10-24"
"Perry","98","2016-10-24"
"Jackson","193","2016-10-24"
"McMinn","974","2016-10-24"
"Grainger","395","2016-10-24"
"Clay","143","2016-10-24"
"Pickett","104","2016-10-24"
"Lewis","237","2016-10-24"
"Moore","164","2016-10-24"
"Cheatham","530","2016-10-24"
"Unicoi","441","2016-10-24"
"Lake","100","2016-10-24"
"Hamblen","1118","2016-10-24"
"Hickman","344","2016-10-24"
"Henderson","510","2016-10-24"
"Claiborne","523","2016-10-24"
"Carroll","448","2016-10-24"
"Wayne","226","2016-10-24"
"Fentress","424","2016-10-24"
"Smith","354","2016-10-24"
"Lawrence","674","2016-10-24"
"Dickson","362","2016-10-24"
"Marion","425","2016-10-24"
"Fayette","1041","2016-10-24"
"Maury","1685","2016-10-24"
"Madison","2004","2016-10-24"
"Rhea","806","2016-10-24"
"Macon","356","2016-10-24"
"Lauderdale","375","2016-10-24"
"Bledsoe","115","2016-10-24"
"Humphreys","384","2016-10-24"
"Giles","550","2016-10-24"
"McNairy","454","2016-10-24"
"Coffee","1055","2016-10-24"
"Benton","350","2016-10-24"
"Bedford","914","2016-10-24"
"Sequatchie","258","2016-10-24"
"Lincoln","642","2016-10-24"
"Stewart","268","2016-10-24"
"Decatur","238","2016-10-24"
"Johnson","399","2016-10-24"
"Weakley","631","2016-10-24"
"Putnam","1427","2016-10-24"
"Cumberland","1545","2016-10-24"
"Overton","440","2016-10-24"
"Franklin","776","2016-10-24"
"Marshall","668","2016-10-24"
"Loudon","2212","2016-10-24"
"Bradley","2328","2016-10-24"
"Van Buren","109","2016-10-24"
"Sullivan","4360","2016-10-21"
"Grundy","181","2016-10-24"
"Hawkins","1163","2016-10-24"
"Houston","140","2016-10-24"
"Anderson","1847","2016-10-24"
"Trousdale","180","2016-10-24"
"Obion","720","2016-10-24"
"Crockett","232","2016-10-24"
"Monroe","720","2016-10-24"
"Gibson","818","2016-10-24"
"Montgomery","2583","2016-10-24"
"DeKalb","413","2016-10-24"
"Chester","377","2016-10-24"
"Sumner","3356","2016-10-24"
"Wilson","3516","2016-10-24"
"White","504","2016-10-24"
"Tipton","1327","2016-10-24"
"Hamilton","5552","2016-10-24"
"Warren","746","2016-10-24"
"Rutherford","6154","2016-10-24"
"Sevier","1210","2016-10-24"
"Davidson","13777","2016-10-24"
"Greene","898","2016-10-24"
"Cocke","546","2016-10-24"
"Meigs","219","2016-10-24"
"Henry","714","2016-10-24"
"Campbell","570","2016-10-24"
"Washington","2449","2016-10-24"
"Dyer","748","2016-10-24"
"Blount","2570","2016-10-24"
"Shelby","18309","2016-10-24"
"Hardeman","488","2016-10-24"
"Roane","1130","2016-10-24"
"Union","127","2016-10-25"
"DeKalb","278","2016-10-25"
"Morgan","257","2016-10-25"
"Polk","184","2016-10-25"
"Hancock","90","2016-10-25"
"Jackson","152","2016-10-25"
"Carter","912","2016-10-25"
"Scott","211","2016-10-25"
"Grainger","390","2016-10-25"
"Dickson","1197","2016-10-19"
"Hardin","433","2016-10-25"
"Clay","114","2016-10-25"
"Lewis","165","2016-10-25"
"Moore","149","2016-10-25"
"Lake","84","2016-10-25"
"Wayne","186","2016-10-25"
"Unicoi","375","2016-10-25"
"Cheatham","570","2016-10-25"
"Pickett","86","2016-10-25"
"Hickman","293","2016-10-25"
"Johnson","304","2016-10-25"
"Claiborne","516","2016-10-25"
"Sullivan","3920","2016-10-24"
"Hamblen","993","2016-10-25"
"Bledsoe","109","2016-10-25"
"Perry","108","2016-10-25"
"Maury","1610","2016-10-25"
"Madison","2071","2016-10-25"
"Hardeman","419","2016-10-25"
"Smith","357","2016-10-25"
"Carroll","455","2016-10-25"
"Fentress","408","2016-10-25"
"Fayette","1011","2016-10-25"
"Benton","351","2016-10-25"
"Dickson","271","2016-10-25"
"Giles","524","2016-10-25"
"Crockett","199","2016-10-25"
"Chester","465","2016-10-21"
"Chester","278","2016-10-25"
"Macon","396","2016-10-25"
"Obion","621","2016-10-25"
"Lauderdale","360","2016-10-25"
"Trousdale","123","2016-10-25"
"Franklin","762","2016-10-25"
"Marion","373","2016-10-25"
"Weakley","576","2016-10-25"
"Houston","133","2016-10-25"
"McNairy","459","2016-10-25"
"Decatur","206","2016-10-25"
"Jefferson","938","2016-10-25"
"Sequatchie","257","2016-10-25"
"Lincoln","570","2016-10-25"
"Stewart","241","2016-10-25"
"Bedford","838","2016-10-25"
"Van Buren","102","2016-10-25"
"McMinn","1000","2016-10-25"
"Grundy","175","2016-10-25"
"Putnam","1405","2016-10-25"
"Overton","397","2016-10-25"
"Cocke","557","2016-10-25"
"Coffee","992","2016-10-25"
"Lawrence","645","2016-10-25"
"Sevier","1774","2016-10-25"
"Bradley","2137","2016-10-25"
"Roane","1164","2016-10-25"
"Meigs","200","2016-10-25"
"Sullivan","3655","2016-10-25"
"Loudon","2123","2016-10-25"
"Marshall","621","2016-10-25"
"Monroe","659","2016-10-25"
"Anderson","1758","2016-10-25"
"Henderson","645","2016-10-25"
"Cumberland","1564","2016-10-25"
"Gibson","736","2016-10-25"
"Sumner","3120","2016-10-25"
"Montgomery","2688","2016-10-25"
"Haywood","269","2016-10-24"
"Tipton","1331","2016-10-25"
"Haywood","524","2016-10-25"
"Wilson","3505","2016-10-25"
"Warren","743","2016-10-25"
"Hamilton","5262","2016-10-25"
"Henry","582","2016-10-25"
"White","508","2016-10-25"
"Rutherford","5943","2016-10-25"
"Greene","911","2016-10-25"
"Davidson","13397","2016-10-25"
"Washington","2393","2016-10-25"
"Williamson","6125","2016-10-25"
"Blount","2621","2016-10-25"
"Dyer","722","2016-10-25"
"Cannon","146","2016-10-25"
"Shelby","19117","2016-10-25"
"Humphreys","360","2016-10-25"
"Grainger","155","2016-10-26"
"Hancock","27","2016-10-26"
"Jackson","46","2016-10-26"
"Union","170","2016-10-26"
"Hawkins","1046","2016-10-25"
"DeKalb","264","2016-10-26"
"Cannon","180","2016-10-26"
"Morgan","258","2016-10-26"
"McMinn","808","2016-10-26"
"Scott","221","2016-10-26"
"Hardin","341","2016-10-26"
"Carter","891","2016-10-26"
"Cocke","484","2016-10-26"
"Perry","93","2016-10-26"
"Clay","85","2016-10-26"
"Lake","71","2016-10-26"
"Unicoi","318","2016-10-26"
"Johnson","288","2016-10-26"
"Pickett","114","2016-10-26"
"Wayne","205","2016-10-26"
"Claiborne","470","2016-10-26"
"Cheatham","587","2016-10-26"
"Hickman","282","2016-10-26"
"Henderson","473","2016-10-26"
"Hardeman","356","2016-10-26"
"Humphreys","341","2016-10-26"
"Decatur","183","2016-10-26"
"Maury","1575","2016-10-26"
"Roane","1113","2016-10-26"
"Hamblen","921","2016-10-26"
"Rhea","609","2016-10-26"
"Rhea","671","2016-10-25"
"Moore","132","2016-10-26"
"Madison","1764","2016-10-26"
"Smith","291","2016-10-26"
"Lawrence","597","2016-10-26"
"Chester","222","2016-10-26"
"Fentress","372","2016-10-26"
"Fayette","913","2016-10-26"
"Lauderdale","306","2016-10-26"
"Bledsoe","116","2016-10-26"
"Macon","308","2016-10-26"
"Dickson","1005","2016-10-26"
"Benton","338","2016-10-26"
"Franklin","674","2016-10-26"
"Giles","446","2016-10-26"
"McNairy","356","2016-10-26"
"Carroll","411","2016-10-26"
"Trousdale","132","2016-10-26"
"Marion","371","2016-10-26"
"Obion","580","2016-10-26"
"Weakley","531","2016-10-26"
"Haywood","231","2016-10-26"
"Monroe","771","2016-10-26"
"Davidson","9963","2016-10-26"
"Bedford","681","2016-10-26"
"Stewart","209","2016-10-26"
"Van Buren","83","2016-10-26"
"Sequatchie","239","2016-10-26"
"Lincoln","609","2016-10-26"
"Cumberland","1490","2016-10-26"
"Marshall","374","2016-10-26"
"Bradley","2036","2016-10-26"
"Overton","358","2016-10-26"
"Loudon","1620","2016-10-26"
"Sullivan","3459","2016-10-26"
"Anderson","1554","2016-10-26"
"Houston","120","2016-10-26"
"Grundy","141","2016-10-26"
"Greene","855","2016-10-26"
"Warren","645","2016-10-26"
"Gibson","686","2016-10-26"
"Hamilton","4842","2016-10-26"
"Tipton","1276","2016-10-26"
"Montgomery","2424","2016-10-26"
"Henry","553","2016-10-26"
"Wilson","3140","2016-10-26"
"Meigs","175","2016-10-26"
"White","422","2016-10-26"
"Crockett","289","2016-10-26"
"Sevier","1544","2016-10-26"
"Coffee","924","2016-10-26"
"Rutherford","5488","2016-10-26"
"Washington","2389","2016-10-26"
"Sumner","4503","2016-10-26"
"Williamson","5709","2016-10-26"
"Knox","9668","2016-10-26"
"Blount","2682","2016-10-26"
"Dyer","613","2016-10-26"
"Polk","340","2016-10-26"
"Lewis","189","2016-10-26"
"Knox","11042","2016-10-25"
"Sequatchie","105","2016-10-22"
"Union","151","2016-10-27"
"Maury","1623","2016-10-19"
"Dickson","1142","2016-10-20"
"Polk","175","2016-10-27"
"Morgan","263","2016-10-27"
"Hancock","95","2016-10-27"
"Carter","839","2016-10-27"
"Cocke","449","2016-10-27"
"Perry","83","2016-10-27"
"Grainger","405","2016-10-27"
"Pickett","70","2016-10-27"
"Lewis","186","2016-10-27"
