"County","EarlyTotal","Date"
"Bledsoe","141","2016-10-29"
"Dickson","596","2016-10-29"
"Benton","116","2016-10-29"
"DeKalb","248","2016-10-29"
"Hardeman","272","2016-10-29"
"Maury","1042","2016-10-29"
"Giles","338","2016-10-29"
"McNairy","297","2016-10-29"
"Hickman","344","2016-10-29"
"Putnam","560","2016-10-29"
"Coffee","526","2016-10-29"
"Fayette","937","2016-10-29"
"Hamblen","534","2016-10-29"
"Sullivan","1602","2016-10-29"
"Humphreys","221","2016-10-29"
"Warren","251","2016-10-29"
"Henry","294","2016-10-29"
"Sumner","2710","2016-10-29"
"Bedford","493","2016-10-29"
"Van Buren","65","2016-10-29"
"Blount","1023","2016-10-29"
"Washington","1039","2016-10-29"
"Obion","325","2016-10-29"
"Tipton","864","2016-10-29"
"Cannon","168","2016-10-29"
"Bradley","1384","2016-10-29"
"Williamson","3876","2016-10-29"
"Marshall","311","2016-10-29"
"Cheatham","998","2016-10-29"
"Haywood","324","2016-10-29"
"Weakley","446","2016-10-29"
"Montgomery","1953","2016-10-29"
"Wilson","1934","2016-10-29"
"Davidson","9715","2016-10-29"
"Hamilton","4364","2016-10-29"
"Shelby","15248","2016-10-21"
"Shelby","12278","2016-10-29"
"Dyer","302","2016-10-29"
"Campbell","529","2016-10-25"
"Campbell","474","2016-10-26"
"Campbell","480","2016-10-27"
"Campbell","757","2016-10-28"
"Campbell","274","2016-10-29"
"Knox","8857","2016-10-27"
"Polk","243","2016-10-29"
"Grundy","99","2016-10-29"
"Rutherford","4288","2016-10-29"
"Bledsoe","96","2016-10-31"
"Morgan","230","2016-10-31"
"Polk","189","2016-10-31"
"Hancock","67","2016-10-31"
"Carter","741","2016-10-31"
"Cannon","134","2016-10-31"
"Jefferson","829","2016-10-26"
"Union","268","2016-10-31"
"Jefferson","848","2016-10-27"
"Jefferson","675","2016-10-29"
"Jefferson","793","2016-10-31"
"Perry","85","2016-10-31"
"McMinn","749","2016-10-31"
"Scott","237","2016-10-31"
"Grainger","335","2016-10-31"
"Jackson","163","2016-10-31"
"Jefferson","884","2016-10-28"
"Haywood","193","2016-10-31"
"Clay","88","2016-10-31"
"Lake","83","2016-10-31"
"Lewis","194","2016-10-31"
"Pickett","84","2016-10-31"
"Humphreys","242","2016-10-31"
"Cheatham","683","2016-10-31"
"Hickman","282","2016-10-31"
"Moore","116","2016-10-31"
"Unicoi","286","2016-10-31"
"Roane","933","2016-10-31"
"Henderson","328","2016-10-31"
"Wayne","199","2016-10-31"
"Decatur","140","2016-10-31"
"Fentress","288","2016-10-31"
"Madison","1465","2016-10-31"
"Claiborne","467","2016-10-31"
"Monroe","593","2016-10-31"
"Dickson","352","2016-10-31"
"Rhea","363","2016-10-31"
"Grundy","166","2016-10-31"
"Smith","305","2016-10-31"
"Hardeman","309","2016-10-31"
"Fayette","751","2016-10-31"
"Giles","421","2016-10-31"
"Macon","235","2016-10-31"
"Lauderdale","268","2016-10-31"
"Lawrence","567","2016-10-31"
"Henry","398","2016-10-31"
"Carroll","343","2016-10-31"
"Benton","284","2016-10-31"
"Trousdale","93","2016-10-31"
"Marion","344","2016-10-31"
"Weakley","472","2016-10-31"
"Houston","94","2016-10-31"
"Overton","291","2016-10-31"
"McNairy","375","2016-10-31"
"White","342","2016-10-31"
"Sequatchie","242","2016-10-31"
"Crockett","163","2016-10-31"
"Putnam","1077","2016-10-31"
"Johnson","279","2016-10-31"
"Stewart","158","2016-10-31"
"Sumner","2289","2016-10-31"
"Lincoln","483","2016-10-31"
"Cocke","470","2016-10-31"
"Cumberland","1233","2016-10-31"
"Bradley","1693","2016-10-31"
"Loudon","920","2016-10-31"
"Van Buren","100","2016-10-31"
"Obion","448","2016-10-31"
"DeKalb","210","2016-10-31"
"Coffee","759","2016-10-31"
"Anderson","1356","2016-10-31"
"Franklin","702","2016-10-31"
"Sevier","1180","2016-10-31"
"Sullivan","2578","2016-10-31"
"Marshall","403","2016-10-31"
"Bedford","623","2016-10-31"
"Washington","2223","2016-10-31"
"Greene","864","2016-10-31"
"Meigs","174","2016-10-31"
"Wilson","2597","2016-10-31"
"Warren","555","2016-10-31"
"Maury","2584","2016-10-31"
"Montgomery","2207","2016-10-31"
"Rutherford","4934","2016-10-31"
"Davidson","11440","2016-10-31"
"Chester","224","2016-10-31"
"Campbell","472","2016-10-31"
"Hamilton","4590","2016-10-31"
"Knox","6579","2016-10-29"
"Tipton","1055","2016-10-31"
"Williamson","5610","2016-10-31"
"Williamson","6126","2016-10-28"
"Williamson","6555","2016-10-24"
"Williamson","6535","2016-10-21"
"Williamson","6461","2016-10-20"
"Shelby","18578","2016-10-31"
"Shelby","17779","2016-10-28"
"Dyer","538","2016-10-31"
"Gibson","750","2016-10-31"
"Hamblen","901","2016-10-31"
"Knox","9616","2016-10-31"
"Blount","2686","2016-10-31"
"Bledsoe","88","2016-11-01"
"DeKalb","164","2016-11-01"
"Hardin","384","2016-10-31"
"Polk","153","2016-11-01"
"Morgan","197","2016-11-01"
"Hancock","61","2016-11-01"
"Jackson","133","2016-11-01"
"Carter","685","2016-11-01"
"Union","198","2016-11-01"
"Hardin","324","2016-11-01"
"Grainger","285","2016-11-01"
"Perry","73","2016-11-01"
"Clay","102","2016-11-01"
"Pickett","65","2016-11-01"
"Moore","102","2016-11-01"
"Lewis","165","2016-11-01"
"Scott","200","2016-11-01"
"Hickman","242","2016-11-01"
"Cheatham","590","2016-11-01"
"Wayne","140","2016-11-01"
"Fentress","260","2016-11-01"
"Lake","69","2016-11-01"
"Hamblen","788","2016-11-01"
"Roane","871","2016-11-01"
"Roane","1434","2016-10-19"
"Madison","1517","2016-11-01"
"Rhea","321","2016-11-01"
"Decatur","143","2016-11-01"
"Fayette","667","2016-11-01"
"Grundy","120","2016-11-01"
"Carroll","333","2016-11-01"
"Johnson","226","2016-11-01"
"Marion","327","2016-11-01"
"Lawrence","519","2016-11-01"
"Crockett","170","2016-11-01"
"Humphreys","255","2016-11-01"
"Henry","430","2016-11-01"
"Lauderdale","274","2016-11-01"
"McNairy","307","2016-11-01"
"Macon","249","2016-11-01"
"Giles","359","2016-11-01"
"Obion","347","2016-11-01"
"Dickson","271","2016-11-01"
"Hardeman","286","2016-11-01"
"Benton","256","2016-11-01"
"Franklin","532","2016-11-01"
"Trousdale","102","2016-11-01"
"Stewart","177","2016-11-01"
"Unicoi","274","2016-11-01"
"Lincoln","380","2016-11-01"
"Overton","315","2016-11-01"
"Putnam","1027","2016-11-01"
"Cumberland","993","2016-11-01"
"Van Buren","80","2016-11-01"
"Marshall","343","2016-11-01"
"Chester","233","2016-11-01"
"Houston","104","2016-11-01"
"McMinn","835","2016-11-01"
"Monroe","779","2016-11-01"
"Anderson","1252","2016-11-01"
"Campbell","430","2016-11-01"
"Coffee","733","2016-11-01"
"Sevier","1650","2016-11-01"
"Meigs","182","2016-11-01"
"Loudon","846","2016-11-01"
"Henderson","445","2016-11-01"
"Bedford","531","2016-11-01"
"Haywood","358","2016-11-01"
"Sumner","3406","2016-11-01"
"Smith","301","2016-11-01"
"Gibson","620","2016-11-01"
"White","395","2016-11-01"
"Weakley","499","2016-11-01"
"Greene","902","2016-11-01"
"Wilson","2655","2016-11-01"
"Washington","2296","2016-11-01"
"Montgomery","2378","2016-11-01"
"Cannon","159","2016-11-01"
"Maury","2249","2016-11-01"
"Rutherford","5123","2016-11-01"
"Davidson","11739","2016-11-01"
"Hamilton","5352","2016-11-01"
"Claiborne","431","2016-11-01"
"Bradley","1719","2016-11-01"
"Tipton","954","2016-11-01"
"Shelby","18338","2016-11-01"
"Dyer","476","2016-11-01"
"Blount","2666","2016-11-01"
"Sullivan","2430","2016-11-01"
"Cocke","385","2016-11-01"
"Warren","520","2016-11-01"
"Jefferson","1050","2016-10-24"
"Jefferson","679","2016-11-01"
"Grainger","145","2016-11-02"
"Hancock","45","2016-11-02"
"Jackson","70","2016-11-02"
"Bledsoe","77","2016-11-02"
"DeKalb","203","2016-11-02"
"Cannon","127","2016-11-02"
"Haywood","157","2016-11-02"
"Polk","152","2016-11-02"
"McMinn","643","2016-11-02"
"Union","247","2016-11-02"
"Carter","746","2016-11-02"
"Perry","85","2016-11-02"
"Hardin","332","2016-11-02"
"Cocke","432","2016-11-02"
"Pickett","64","2016-11-02"
"Clay","83","2016-11-02"
"Lewis","158","2016-11-02"
"Lake","55","2016-11-02"
"Johnson","219","2016-11-02"
"Wayne","185","2016-11-02"
"Hickman","281","2016-11-02"
"Hamblen","893","2016-11-02"
"Fentress","351","2016-11-02"
"Cheatham","623","2016-11-02"
"Decatur","170","2016-11-02"
"Roane","957","2016-11-02"
"Smith","296","2016-11-02"
"Dickson","1076","2016-11-02"
"Giles","351","2016-11-02"
"Fayette","715","2016-11-02"
"Moore","159","2016-11-02"
"Hardeman","308","2016-11-02"
"Rhea","342","2016-11-02"
"Macon","298","2016-11-02"
"Henry","396","2016-11-02"
"McNairy","308","2016-11-02"
"Carroll","346","2016-11-02"
"Obion","351","2016-11-02"
"Lauderdale","274","2016-11-02"
"Trousdale","130","2016-11-02"
"Marion","343","2016-11-02"
"Chester","217","2016-11-02"
"White","337","2016-11-02"
"Franklin","689","2016-11-02"
"Lawrence","597","2016-11-02"
"Monroe","845","2016-11-02"
"Morgan","237","2016-11-02"
"Sequatchie","231","2016-11-02"
"Overton","317","2016-11-02"
"Unicoi","276","2016-11-02"
"Marshall","366","2016-11-02"
"Lincoln","455","2016-11-02"
"Scott","449","2016-11-02"
"Jefferson","875","2016-11-02"
"Grundy","158","2016-11-02"
"Davidson","10829","2016-11-02"
"Van Buren","97","2016-11-02"
"Cumberland","1040","2016-11-02"
"Stewart","230","2016-11-02"
"Anderson","1487","2016-11-02"
"Campbell","484","2016-11-02"
"Hawkins","760","2016-11-02"
"Hawkins","947","2016-10-26"
"Hawkins","1166","2016-10-19"
"Hawkins","1265","2016-10-21"
"Hawkins","1027","2016-10-27"
"Hawkins","1001","2016-10-28"
"Hawkins","848","2016-10-31"
"Hawkins","708","2016-11-01"
"Sevier","1678","2016-11-02"
"Bedford","748","2016-11-02"
"Bradley","1931","2016-11-02"
"Madison","2064","2016-11-02"
"Coffee","851","2016-11-02"
"Sumner","3422","2016-11-02"
"Gibson","783","2016-11-02"
"Tipton","1125","2016-11-02"
"Warren","679","2016-11-02"
"Weakley","521","2016-11-02"
"Washington","2487","2016-11-02"
"Crockett","259","2016-11-02"
"Loudon","963","2016-11-02"
"Putnam","1403","2016-11-02"
"Montgomery","2880","2016-11-02"
"Rutherford","5944","2016-11-02"
"Wilson","2802","2016-11-02"
"Greene","946","2016-11-02"
"Williamson","6608","2016-11-02"
"Williamson","5986","2016-11-01"
"Hamilton","6761","2016-11-02"
"Knox","10513","2016-10-24"
"Dyer","522","2016-11-02"
"Sequatchie","192","2016-11-01"
"Blount","2242","2016-11-02"
"Blount","3140","2016-10-19"
"Houston","106","2016-11-02"
"Henderson","329","2016-11-02"
"Claiborne","466","2016-11-02"
"Sullivan","2784","2016-11-02"
"Humphreys","272","2016-11-02"
"Shelby","19827","2016-11-02"
"Shelby","14891","2016-10-20"
"Shelby","18444","2016-10-26"
"Maury","2296","2016-11-02"
"Benton","268","2016-11-02"
"Bledsoe","103","2016-11-03"
"Polk","226","2016-11-03"
"Carter","988","2016-11-03"
"Hancock","126","2016-11-03"
"Union","271","2016-11-03"
"Perry","144","2016-11-03"
"Jackson","179","2016-11-03"
"Clay","137","2016-11-03"
"Pickett","111","2016-11-03"
"Wayne","269","2016-11-03"
"Lewis","197","2016-11-03"
"Hickman","340","2016-11-03"
"Johnson","332","2016-11-03"
"Grainger","447","2016-11-03"
"Fentress","354","2016-11-03"
"Humphreys","307","2016-11-03"
"Jefferson","905","2016-11-03"
"Lake","103","2016-11-03"
"Benton","289","2016-11-03"
"Marion","440","2016-11-03"
"Obion","493","2016-11-03"
"Roane","1129","2016-11-03"
"Moore","146","2016-11-03"
"Rhea","477","2016-11-03"
"Franklin","710","2016-11-03"
"Lawrence","704","2016-11-03"
"Fayette","913","2016-11-03"
"Grundy","175","2016-11-03"
"Sequatchie","277","2016-11-03"
"Unicoi","398","2016-11-03"
"Morgan","324","2016-11-03"
"Monroe","1007","2016-11-03"
"Overton","323","2016-11-03"
"Houston","142","2016-11-03"
"Chester","319","2016-11-03"
"Cumberland","1122","2016-11-03"
"Crockett","238","2016-11-03"
"Van Buren","112","2016-11-03"
"Campbell","581","2016-11-03"
"McMinn","1155","2016-11-03"
"Scott","579","2016-11-03"
"Meigs","221","2016-11-03"
"Hardin","537","2016-11-03"
"Hardin","286","2016-10-29"
"McNairy","542","2016-11-03"
"Bedford","828","2016-11-03"
"Loudon","1143","2016-11-03"
"Decatur","201","2016-11-03"
"Henderson","618","2016-11-03"
"Stewart","247","2016-11-03"
"Madison","2583","2016-11-03"
"Weakley","631","2016-11-03"
"Trousdale","224","2016-11-03"
"Sumner","2680","2016-11-03"
"Giles","549","2016-11-03"
"Smith","441","2016-11-03"
"Cocke","618","2016-11-03"
"Warren","699","2016-11-03"
"DeKalb","397","2016-11-03"
"Sevier","1798","2016-11-03"
"Haywood","592","2016-11-03"
"Hamblen","1393","2016-11-03"
"Greene","942","2016-11-03"
"Lincoln","527","2016-11-03"
"Henry","571","2016-11-03"
"Marshall","501","2016-11-03"
"Claiborne","623","2016-11-03"
"Lauderdale","594","2016-11-03"
"Putnam","1455","2016-11-03"
"Gibson","1045","2016-11-03"
"Putnam","1356","2016-10-26"
"Macon","539","2016-11-03"
"Putnam","1428","2016-10-27"
"Coffee","1123","2016-11-03"
"Bradley","2485","2016-11-03"
"Montgomery","3281","2016-11-03"
"Cannon","394","2016-11-03"
"Hardeman","697","2016-11-03"
"Anderson","1889","2016-11-03"
"Sullivan","3514","2016-11-03"
"Maury","2419","2016-11-03"
"Rutherford","6863","2016-11-03"
"White","586","2016-11-03"
"Dyer","707","2016-11-03"
"Knox","10366","2016-10-20"
"Knox","10079","2016-10-28"
"Washington","2603","2016-11-03"
"Knox","10269","2016-11-01"
"Wilson","3836","2016-11-03"
"Knox","11142","2016-11-02"
"Knox","13687","2016-11-03"
"Dickson","1461","2016-11-03"
"Tipton","1372","2016-11-03"
"Hamilton","6323","2016-11-03"
"Hawkins","1232","2016-11-03"
"Williamson","7509","2016-11-03"
"Davidson","18292","2016-11-03"
"Shelby","24336","2016-11-03"
"Shelby","18693","2016-10-27"
"Shelby","16652","2016-10-19"
"Meigs","159","2016-11-02"
"Blount","3247","2016-11-03"
"Carroll","412","2016-11-03"
"Chester","496","2016-10-19"
"Rutherford","6540","2016-10-19"
"Cheatham","1220","2016-11-03"
